goos: linux
goarch: amd64
pkg: github.com/Snider/Poindexter
cpu: Intel(R) Xeon(R) Processor @ 2.30GHz
BenchmarkNearest_Linear_Uniform_1k_2D-4        	  138124	      8534 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_Gonum_Uniform_1k_2D-4         	  133792	      8428 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_Linear_Uniform_10k_2D-4       	   10000	    122322 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_Gonum_Uniform_10k_2D-4        	   13287	     87229 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_Linear_Uniform_1k_4D-4        	  119668	     10099 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_Gonum_Uniform_1k_4D-4         	  120369	     10518 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_Linear_Uniform_10k_4D-4       	   12187	     95500 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_Gonum_Uniform_10k_4D-4        	   12282	    101452 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_Linear_Clustered_1k_2D-4      	  141176	      8635 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_Gonum_Clustered_1k_2D-4       	  141950	      9332 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_Linear_Clustered_10k_2D-4     	   13855	    100933 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_Gonum_Clustered_10k_2D-4      	   10000	    104974 ns/op	       0 B/op	       0 allocs/op
BenchmarkKNN10_Linear_Uniform_10k_2D-4         	     447	   2664549 ns/op	  164497 B/op	       6 allocs/op
BenchmarkKNN10_Gonum_Uniform_10k_2D-4          	     448	   2678659 ns/op	  164496 B/op	       6 allocs/op
BenchmarkKNN10_Linear_Clustered_10k_2D-4       	     451	   2655975 ns/op	  164496 B/op	       6 allocs/op
BenchmarkKNN10_Gonum_Clustered_10k_2D-4        	     429	   2796159 ns/op	  164496 B/op	       6 allocs/op
BenchmarkRadiusMid_Linear_Uniform_10k_2D-4     	     205	   5708833 ns/op	  961263 B/op	     138 allocs/op
BenchmarkRadiusMid_Gonum_Uniform_10k_2D-4      	     196	   5334473 ns/op	  961862 B/op	     143 allocs/op
BenchmarkRadiusMid_Linear_Clustered_10k_2D-4   	     177	   9435880 ns/op	 1233949 B/op	     182 allocs/op
BenchmarkRadiusMid_Gonum_Clustered_10k_2D-4    	     163	   6559096 ns/op	 1235333 B/op	     196 allocs/op
BenchmarkNearest_1k_2D-4                       	  116074	      8685 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_10k_2D-4                      	   14332	     91255 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_1k_4D-4                       	  108560	     11050 ns/op	       0 B/op	       0 allocs/op
BenchmarkNearest_10k_4D-4                      	   10000	    112694 ns/op	       0 B/op	       0 allocs/op
BenchmarkKNearest10_1k_2D-4                    	    4704	    253934 ns/op	   17032 B/op	       6 allocs/op
BenchmarkKNearest10_10k_2D-4                   	     458	   2664017 ns/op	  164495 B/op	       6 allocs/op
BenchmarkRadiusMid_1k_2D-4                     	    3313	    336997 ns/op	   77568 B/op	      16 allocs/op
BenchmarkRadiusMid_10k_2D-4                    	     204	   6112449 ns/op	  969521 B/op	     141 allocs/op
PASS
ok  	github.com/Snider/Poindexter	47.769s
